teacher_id	teacher_name	subject_id	num_lessons
1	Максим Осипов	1	1
1	Максим Осипов	2	0
1	Максим Осипов	3	0
1	Максим Осипов	4	0
1	Максим Осипов	5	0
2	Виталий Лебедев	1	0
2	Виталий Лебедев	2	0
2	Виталий Лебедев	3	0
2	Виталий Лебедев	4	0
2	Виталий Лебедев	5	0
3	Константин Петухов	1	2
3	Константин Петухов	2	0
3	Константин Петухов	3	0
3	Константин Петухов	4	0
3	Константин Петухов	5	0
4	Валерий Рябов	1	0
4	Валерий Рябов	2	0
4	Валерий Рябов	3	0
4	Валерий Рябов	4	0
4	Валерий Рябов	5	0
5	Маргарита Щербакова	1	3
5	Маргарита Щербакова	2	0
5	Маргарита Щербакова	3	0
5	Маргарита Щербакова	4	0
5	Маргарита Щербакова	5	0
6	Кирилл Филиппов	1	1
6	Кирилл Филиппов	2	0
6	Кирилл Филиппов	3	0
6	Кирилл Филиппов	4	0
6	Кирилл Филиппов	5	0
7	Валентин Федотов	1	3
7	Валентин Федотов	2	0
7	Валентин Федотов	3	0
7	Валентин Федотов	4	0
7	Валентин Федотов	5	0
8	Ярослав Дорофеев	1	1
8	Ярослав Дорофеев	2	0
8	Ярослав Дорофеев	3	0
8	Ярослав Дорофеев	4	0
8	Ярослав Дорофеев	5	0
9	Жанна Никифорова	1	1
9	Жанна Никифорова	2	0
9	Жанна Никифорова	3	0
9	Жанна Никифорова	4	0
9	Жанна Никифорова	5	0
10	Агнесса Боброва	1	3
10	Агнесса Боброва	2	0
10	Агнесса Боброва	3	0
10	Агнесса Боброва	4	0
10	Агнесса Боброва	5	0
11	Глеб Виноградов	1	0
11	Глеб Виноградов	2	0
11	Глеб Виноградов	3	0
11	Глеб Виноградов	4	0
11	Глеб Виноградов	5	0
12	Роман Захаров	1	1
12	Роман Захаров	2	0
12	Роман Захаров	3	0
12	Роман Захаров	4	0
12	Роман Захаров	5	0
13	Роберт Яковлев	1	1
13	Роберт Яковлев	2	0
13	Роберт Яковлев	3	0
13	Роберт Яковлев	4	0
13	Роберт Яковлев	5	0
14	Савелий Орлов	1	2
14	Савелий Орлов	2	0
14	Савелий Орлов	3	0
14	Савелий Орлов	4	0
14	Савелий Орлов	5	0
15	Артем Егоров	1	1
15	Артем Егоров	2	0
15	Артем Егоров	3	0
15	Артем Егоров	4	0
15	Артем Егоров	5	0
16	Екатерина Александрова	1	1
16	Екатерина Александрова	2	0
16	Екатерина Александрова	3	0
16	Екатерина Александрова	4	0
16	Екатерина Александрова	5	0
17	Арсений Кудрявцев	1	3
17	Арсений Кудрявцев	2	0
17	Арсений Кудрявцев	3	0
17	Арсений Кудрявцев	4	0
17	Арсений Кудрявцев	5	0
18	Петр Голубев	1	1
18	Петр Голубев	2	0
18	Петр Голубев	3	0
18	Петр Голубев	4	0
18	Петр Голубев	5	0
19	Кирилл Кудрявцев	1	2
19	Кирилл Кудрявцев	2	0
19	Кирилл Кудрявцев	3	0
19	Кирилл Кудрявцев	4	0
19	Кирилл Кудрявцев	5	0
20	Яна Денисова	1	0
20	Яна Денисова	2	0
20	Яна Денисова	3	0
20	Яна Денисова	4	0
20	Яна Денисова	5	0
21	Вадим Никифоров	1	1
21	Вадим Никифоров	2	0
21	Вадим Никифоров	3	0
21	Вадим Никифоров	4	0
21	Вадим Никифоров	5	0
22	Анна Орлова	1	3
22	Анна Орлова	2	0
22	Анна Орлова	3	0
22	Анна Орлова	4	0
22	Анна Орлова	5	0
23	Агата Павлова	1	0
23	Агата Павлова	2	0
23	Агата Павлова	3	0
23	Агата Павлова	4	0
23	Агата Павлова	5	0
24	Матвей Богданов	1	3
24	Матвей Богданов	2	0
24	Матвей Богданов	3	0
24	Матвей Богданов	4	0
24	Матвей Богданов	5	0
25	Анжела Королёва	1	2
25	Анжела Королёва	2	0
25	Анжела Королёва	3	0
25	Анжела Королёва	4	0
25	Анжела Королёва	5	0
26	Ева Фокина	1	0
26	Ева Фокина	2	0
26	Ева Фокина	3	0
26	Ева Фокина	4	0
26	Ева Фокина	5	0
27	Карина Федотова	1	0
27	Карина Федотова	2	0
27	Карина Федотова	3	0
27	Карина Федотова	4	0
27	Карина Федотова	5	0
28	Виталий Егоров	1	0
28	Виталий Егоров	2	0
28	Виталий Егоров	3	0
28	Виталий Егоров	4	0
28	Виталий Егоров	5	0
29	Вера Королёва	1	1
29	Вера Королёва	2	0
29	Вера Королёва	3	0
29	Вера Королёва	4	0
29	Вера Королёва	5	0
30	Оксана Суханова	1	3
30	Оксана Суханова	2	0
30	Оксана Суханова	3	0
30	Оксана Суханова	4	0
30	Оксана Суханова	5	0
31	Таисия Зайцева	1	0
31	Таисия Зайцева	2	0
31	Таисия Зайцева	3	0
31	Таисия Зайцева	4	0
31	Таисия Зайцева	5	0
32	Тамара Соколова	1	2
32	Тамара Соколова	2	0
32	Тамара Соколова	3	0
32	Тамара Соколова	4	0
32	Тамара Соколова	5	0
33	Владислав Федотов	1	1
33	Владислав Федотов	2	0
33	Владислав Федотов	3	0
33	Владислав Федотов	4	0
33	Владислав Федотов	5	0
34	Вячеслав Лебедев	1	3
34	Вячеслав Лебедев	2	0
34	Вячеслав Лебедев	3	0
34	Вячеслав Лебедев	4	0
34	Вячеслав Лебедев	5	0
35	Антон Маслов	1	0
35	Антон Маслов	2	0
35	Антон Маслов	3	0
35	Антон Маслов	4	0
35	Антон Маслов	5	0
36	Татьяна Громова	1	1
36	Татьяна Громова	2	0
36	Татьяна Громова	3	0
36	Татьяна Громова	4	0
36	Татьяна Громова	5	0
37	Матвей Кузнецов	1	2
37	Матвей Кузнецов	2	0
37	Матвей Кузнецов	3	0
37	Матвей Кузнецов	4	0
37	Матвей Кузнецов	5	0
38	Фёдор Калинин	1	1
38	Фёдор Калинин	2	0
38	Фёдор Калинин	3	0
38	Фёдор Калинин	4	0
38	Фёдор Калинин	5	0
39	Вячеслав Карпов	1	3
39	Вячеслав Карпов	2	0
39	Вячеслав Карпов	3	0
39	Вячеслав Карпов	4	0
39	Вячеслав Карпов	5	0
40	Давид Веселов	1	1
40	Давид Веселов	2	0
40	Давид Веселов	3	0
40	Давид Веселов	4	0
40	Давид Веселов	5	0
41	Фёдора Фёдорова	1	4
41	Фёдора Фёдорова	2	0
41	Фёдора Фёдорова	3	0
41	Фёдора Фёдорова	4	0
41	Фёдора Фёдорова	5	0
42	Инна Романова	1	4
42	Инна Романова	2	0
42	Инна Романова	3	0
42	Инна Романова	4	0
42	Инна Романова	5	0
43	Злата Лазарева	1	4
43	Злата Лазарева	2	0
43	Злата Лазарева	3	0
43	Злата Лазарева	4	0
43	Злата Лазарева	5	0
44	Анна Журавлёва	1	0
44	Анна Журавлёва	2	0
44	Анна Журавлёва	3	0
44	Анна Журавлёва	4	0
44	Анна Журавлёва	5	0
45	Вячеслав Поляков	1	3
45	Вячеслав Поляков	2	0
45	Вячеслав Поляков	3	0
45	Вячеслав Поляков	4	0
45	Вячеслав Поляков	5	0
46	Лариса Давыдова	1	1
46	Лариса Давыдова	2	0
46	Лариса Давыдова	3	0
46	Лариса Давыдова	4	0
46	Лариса Давыдова	5	0
47	Вадим Денисов	1	2
47	Вадим Денисов	2	0
47	Вадим Денисов	3	0
47	Вадим Денисов	4	0
47	Вадим Денисов	5	0
48	Ефим Виноградов	1	0
48	Ефим Виноградов	2	0
48	Ефим Виноградов	3	0
48	Ефим Виноградов	4	0
48	Ефим Виноградов	5	0
49	Раиса Филиппова	1	0
49	Раиса Филиппова	2	0
49	Раиса Филиппова	3	0
49	Раиса Филиппова	4	0
49	Раиса Филиппова	5	0
50	Арсений Петухов	1	1
50	Арсений Петухов	2	0
50	Арсений Петухов	3	0
50	Арсений Петухов	4	0
50	Арсений Петухов	5	0
